CSCA08H3,Introduction to Computer Programming,Computer Science
CSCA20H3,Computer Science for the Sciences,Computer Science
CSCA48H3,Introduction to Computer Science,Computer Science
CSCA67H3,Discrete Mathematics for Computer Scientists,Computer Science
CSCB07H3,Software Design,Computer Science
CSCB09H3,Software Tools and Systems Programming,Computer Science
CSCB20H3,Introduction to Databases and Web Applications,Computer Science
CSCB29H3,Concepts in Elementary Computer Science,Computer Science
CSCB36H3,Introduction to the Theory of Computation,Computer Science
CSCB58H3,Computer Organization,Computer Science
CSCB63H3,Design and Analysis of Data Structures,Computer Science
CSCC01H3,Introduction to Software Engineering,Computer Science
CSCC09H3,Programming on the Web,Computer Science
CSCC11H3,Introduction to Machine Learning and Data Mining,Computer Science
CSCC24H3,Principles of Programming Languages,Computer Science
CSCC37H3,Introduction to Numerical Algorithms for Computational Mathematics,Computer Science
CSCC43H3,Introduction to Databases,Computer Science
CSCC63H3,Computability and Computational Complexity,Computer Science
CSCC69H3,Operating Systems,Computer Science
CSCC73H3,Algorithm Design and Analysis,Computer Science
CSCC85H3,Introduction to Embedded Systems,Computer Science
CSCD01H3,Engineering Large Software Systems,Computer Science
CSCD03H3,Social Impact of Information Technology,Computer Science
CSCD18H3,Computer Graphics,Computer Science
CSCD27H3,Computer and Network Security,Computer Science
CSCD37H3,Analysis of Numerical Algorithms for Computational Mathematics,Computer Science
CSCD43H3,Database System Technology,Computer Science
CSCD58H3Â ,Computer Networks,Computer Science
CSCD71H3,Topics in Computer Science,Computer Science
CSCD72H3,Topics in the Theory of Computing,Computer Science
CSCD84H3,Artificial Intelligence,Computer Science
CSCD94H3,Computer Science Project,Computer Science
CSCD95H3,Computer Science Project,Computer Science